first_name,last_name,email,DOB,gender,city,Preference_CITY,Country,KEY_SKILLS,mode_of_work,current_CTC,Expected_CTC
Christopher,Jones,margaret67@brown-friedman.biz,2005-07-07,Female,Porto Alegre,"Porto Alegre, Fortaleza, Rio de Janeiro","Portugal, Spain, Brazil","Project Management, Data Analytics, DevOps, Renewable Energy, Environmental Engineering","Hybrid, Remote, Onsite",7179.96,8926.13
Alexander,Jackson,sandersmichael@hines.com,2003-01-04,Female,Rio de Janeiro,"São Paulo, Brasília, Salvador","Brazil, Spain, Portugal","Data Analytics, Web Development, Machine Learning, Project Management, Generative AI","Hybrid, Remote, Onsite",4405.65,6456.85
Chelsey,Jackson,francomonica@gmail.com,1985-07-11,Female,Rio de Janeiro,"Recife, Rio de Janeiro, Brasília","Spain, Portugal, Brazil","DevOps, Machine Learning, Generative AI, Renewable Energy, Data Analytics","Remote, Hybrid, Onsite",5043.45,7528.89
Karen,Shaw,stevenwalls@cruz.com,1995-05-04,Male,Curitiba,"São Paulo, Curitiba, Brasília","Spain, Portugal, Brazil","Generative AI, Renewable Energy, Machine Learning, Project Management, DevOps","Remote, Hybrid, Onsite",7088.48,8570.86
Randy,Ryan,iroman@gmail.com,1994-12-30,Other,Curitiba,"Salvador, Porto Alegre, Fortaleza","Portugal, Brazil, Spain","Digital Marketing, Web Development, Machine Learning, DevOps, Data Science","Hybrid, Onsite, Remote",3622.6,5423.3
Peter,Davis,larrycherry@hotmail.com,1992-01-21,Male,Curitiba,"Curitiba, Rio de Janeiro, Salvador","Portugal, Spain, Brazil","Renewable Energy, Web Development, DevOps, Project Management, Environmental Engineering","Hybrid, Onsite, Remote",7492.15,8362.73
Emily,Pearson,hubbardkathy@olsen.biz,2006-01-10,Other,São Paulo,"Rio de Janeiro, Curitiba, Salvador","Brazil, Spain, Portugal","Machine Learning, DevOps, Data Analytics, Project Management, Environmental Engineering","Remote, Hybrid, Onsite",4935.14,6324.03
Cheryl,Bailey,jonesbrandi@hotmail.com,2004-03-23,Male,Curitiba,"Curitiba, Recife, Porto Alegre","Portugal, Spain, Brazil","Machine Learning, Generative AI, Web Development, Environmental Engineering, Project Management","Hybrid, Remote, Onsite",7619.18,9081.58
Lisa,Lee,eugenemartin@gmail.com,1989-08-11,Other,Rio de Janeiro,"São Paulo, Salvador, Recife","Brazil, Spain, Portugal","DevOps, Generative AI, Digital Marketing, Machine Learning, Data Analytics","Hybrid, Remote, Onsite",6712.23,8088.53
Calvin,Baker,steve95@smith-gray.com,2007-03-19,Female,Fortaleza,"Rio de Janeiro, Recife, Fortaleza","Brazil, Spain, Portugal","Data Science, Data Analytics, DevOps, Digital Marketing, Environmental Engineering","Hybrid, Onsite, Remote",4185.68,5820.06
Kristi,Vasquez,austinharrison@gonzalez-potter.net,1986-06-06,Male,Salvador,"Porto Alegre, São Paulo, Brasília","Brazil, Spain, Portugal","Machine Learning, Project Management, Environmental Engineering, Generative AI, Web Development","Remote, Hybrid, Onsite",7337.7,8866.29
Michael,Fernandez,jessicajohnston@owens-logan.com,2005-10-26,Other,Curitiba,"Rio de Janeiro, Curitiba, Porto Alegre","Portugal, Spain, Brazil","Project Management, Environmental Engineering, Generative AI, Data Science, Web Development","Onsite, Remote, Hybrid",6971.86,8403.08
Wendy,Gonzalez,ramirezashley@gmail.com,2006-04-16,Male,Salvador,"Recife, Curitiba, Salvador","Spain, Portugal, Brazil","Web Development, Data Science, Project Management, Machine Learning, Data Analytics","Onsite, Remote, Hybrid",2258.84,3284.56
Margaret,Nelson,qmorrow@davis.biz,2005-02-15,Female,Salvador,"Porto Alegre, Recife, Salvador","Spain, Brazil, Portugal","Environmental Engineering, Generative AI, Machine Learning, Project Management, Renewable Energy","Remote, Hybrid, Onsite",4546.34,5105.55
Melissa,Powell,holly49@parker-marshall.biz,1985-05-19,Male,Porto Alegre,"Brasília, Recife, São Paulo","Spain, Brazil, Portugal","Renewable Energy, Data Analytics, Digital Marketing, DevOps, Generative AI","Hybrid, Onsite, Remote",4662.39,5663.71
Christopher,Phillips,terrimcdonald@schultz-price.com,2006-12-24,Female,Recife,"Salvador, Brasília, Recife","Spain, Portugal, Brazil","Renewable Energy, Digital Marketing, Data Analytics, Data Science, Environmental Engineering","Hybrid, Remote, Onsite",7280.33,10506.38
Justin,Lewis,ramirezcolin@yahoo.com,1988-07-29,Other,Fortaleza,"Porto Alegre, Fortaleza, Brasília","Spain, Brazil, Portugal","Project Management, Renewable Energy, Data Science, Data Analytics, Web Development","Hybrid, Onsite, Remote",4465.81,5981.74
Jennifer,Beck,troymiller@hotmail.com,1994-10-12,Other,Curitiba,"Fortaleza, Curitiba, Salvador","Brazil, Spain, Portugal","Renewable Energy, Data Analytics, Web Development, Digital Marketing, Project Management","Remote, Hybrid, Onsite",5202.93,7200.44
Adam,Oliver,robert44@lawrence-davis.com,1985-08-20,Male,Recife,"São Paulo, Salvador, Rio de Janeiro","Spain, Brazil, Portugal","Generative AI, Project Management, Data Analytics, Data Science, Renewable Energy","Remote, Hybrid, Onsite",5453.67,7091.48
Curtis,Thomas,marciacarson@yahoo.com,2001-01-23,Male,Salvador,"Recife, Salvador, Rio de Janeiro","Spain, Portugal, Brazil","DevOps, Renewable Energy, Digital Marketing, Data Science, Environmental Engineering","Onsite, Hybrid, Remote",5413.85,7140.23
Ryan,Scott,orobinson@hotmail.com,2004-07-22,Other,Salvador,"Fortaleza, Salvador, Rio de Janeiro","Portugal, Spain, Brazil","Project Management, DevOps, Machine Learning, Web Development, Digital Marketing","Remote, Onsite, Hybrid",4899.54,6204.71
Edward,Roberts,kruiz@gmail.com,1999-04-13,Female,Rio de Janeiro,"Curitiba, Brasília, Fortaleza","Spain, Portugal, Brazil","Generative AI, Digital Marketing, Environmental Engineering, DevOps, Data Analytics","Onsite, Remote, Hybrid",3544.42,4804.29
Paul,Clark,michael96@rogers-sanders.com,1991-02-15,Female,Porto Alegre,"Brasília, São Paulo, Recife","Portugal, Brazil, Spain","Data Analytics, Machine Learning, Environmental Engineering, DevOps, Generative AI","Onsite, Hybrid, Remote",6022.27,7264.85
Andrew,Moss,kerriweeks@watson.info,1995-01-08,Other,São Paulo,"Salvador, Rio de Janeiro, Porto Alegre","Portugal, Spain, Brazil","Generative AI, Data Analytics, DevOps, Project Management, Renewable Energy","Hybrid, Onsite, Remote",6110.59,8454.16
Wanda,Joseph,tina23@hotmail.com,1995-09-25,Female,Curitiba,"Brasília, Fortaleza, Curitiba","Spain, Portugal, Brazil","DevOps, Generative AI, Environmental Engineering, Machine Learning, Digital Marketing","Hybrid, Remote, Onsite",2794.46,4053.09
Michael,Fuller,jasonyork@anderson.com,2004-05-29,Male,Brasília,"Porto Alegre, Fortaleza, Recife","Brazil, Portugal, Spain","Machine Learning, Generative AI, Data Analytics, DevOps, Renewable Energy","Hybrid, Onsite, Remote",4661.51,5480.44
Matthew,Cohen,crystal59@yahoo.com,1991-09-29,Other,Salvador,"Porto Alegre, São Paulo, Curitiba","Spain, Portugal, Brazil","Generative AI, Data Science, DevOps, Project Management, Renewable Energy","Onsite, Hybrid, Remote",7752.48,8576.98
Kyle,Carpenter,colecrystal@yahoo.com,2004-10-07,Female,Rio de Janeiro,"Brasília, São Paulo, Rio de Janeiro","Brazil, Spain, Portugal","Web Development, DevOps, Machine Learning, Renewable Energy, Generative AI","Remote, Hybrid, Onsite",7855.85,8896.69
Susan,Schneider,danielsjohn@yahoo.com,1996-01-16,Male,Recife,"São Paulo, Salvador, Curitiba","Spain, Brazil, Portugal","Web Development, Data Analytics, Machine Learning, DevOps, Data Science","Remote, Hybrid, Onsite",3964.82,5227.46
James,West,lesliecampbell@contreras.com,1997-09-26,Male,Salvador,"Curitiba, Porto Alegre, São Paulo","Spain, Brazil, Portugal","Data Science, Machine Learning, Environmental Engineering, Data Analytics, Project Management","Onsite, Remote, Hybrid",6093.19,8498.86
Justin,Peterson,angeladavis@yahoo.com,2006-11-16,Male,Recife,"Brasília, São Paulo, Porto Alegre","Brazil, Portugal, Spain","Web Development, DevOps, Project Management, Data Analytics, Environmental Engineering","Hybrid, Onsite, Remote",7575.01,11282.98
Bradley,Caldwell,amanda89@crosby.com,1986-12-25,Other,Brasília,"Fortaleza, Salvador, Rio de Janeiro","Spain, Portugal, Brazil","Machine Learning, Data Analytics, Digital Marketing, Data Science, DevOps","Remote, Hybrid, Onsite",2767.29,3990.84
